name,rating,reviews,category,address_lane1,phone,status,website,maps_url,address,plus_code,hours,about,lat,lng,photos
The Villages of Lake Highlands,4.4,,Nursing home,8615 Lullwater Dr,+1 (214) 221 0444,Open 24 hours,http://villagesoflakehighlands.com/,https://www.google.com/maps/place/The+Villages+of+Lake+Highlands/data=!4m7!3m6!1s0x864ea0f79184498d:0x75a7df7fabbe2fa8!8m2!3d32.8660613!4d-96.7050618!16s%2Fg%2F11b7362d_k!19sChIJjUmEkfegToYRqC--q3_fp3U?authuser=0&hl=en&rclk=1,"8615 Lullwater Dr, Dallas, TX 75238"," V78V+CX Dallas, Texas","[""Tuesday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom, wheelchair accessible seating""]",32.8660613,-96.7050618,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHU978yhNXJnM3DFlnNBGr85UwrXR0mJYtPtjpD5yaq5L9QCMhPuzthdWaqt9BNSCvoHhWZeu6v1p5ZKDpAEcAX6ZUcEMFoN1VNh3gRnGxfyUJzLJ7lluf1O4vIuonu7lYlJ_8WxQ=w32-h32-p-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHU978yhNXJnM3DFlnNBGr85UwrXR0mJYtPtjpD5yaq5L9QCMhPuzthdWaqt9BNSCvoHhWZeu6v1p5ZKDpAEcAX6ZUcEMFoN1VNh3gRnGxfyUJzLJ7lluf1O4vIuonu7lYlJ_8WxQ=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFotVXhGIkN3pwj2_Gehtnhe6fln4ayBzrZ2UqaaJng8MNRKZbevIDkR5aTzRQEO6f1WwhLWDEn-0xyget6VSEvTe0Qy8807Ty8IWUgdTbfkVGwfAn-ZYd7Vu5pCOm8j_me5-pn=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0NOKdGx7-ZZGVN7_L2EqGAzGyk931vKUYA1yiUekoqG1pG7mrMqwobjZsoCQXb6NRILCvAntsV_gU11h0ayg55u5DtrWWAWTC4VSYXFMS3Yi8DHWENiI3ZShYQS7ubgYy7MkMHA=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdIuHx4__mxLqSojbiadocuAsS9s9_nCc8tJo4GvMkZD7nc9G5Q8lN6UqatYRYE0Key_WkKOHKD1NaSjqaO0FlnSDbE7btliG5Wa42t5KMO5reFGbN2XY5RZKtb-40T0gOA04A9Q=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDsz0boG22c4rv1uvn1vBVGDtEz7XfXWbO5QyrvOH5EbIzoGEkjejZG3mTmeLZY77apjaAjPIXgrzRIeVJXhS63mroxaUuLNu6GxTlnggNNlzLGPzX3H_nAfBbUlIy14OjSYL16g=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGCzQO1BoozEEZll2wegVdhLXEFtZV6wfUAOI-6lJ2sFK8RfGw6mWdJs4dq4wwENuMO5rnDmRaA5xkF-cnEzuRQx1bVNNPY0hs2YgM0Y3l09sGKeFEfM3FFWaABySvXHGpUGJkl=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGsnqByQAAO9YfRv-abc0jqBxQD83coS-iylZ7Lk2lx1pHAF7WED2z1wbfKcVp_VNLoKTK8I3rGY_VW9Y-bqAiMpEPK2f51nUsMO3ihYwiz6bB9HuO_XfZGfKp_xopiqTZFSXQyemyWf-Q=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGG6fxwkBMjJePJjTXu1MnYFHpl82H2A9UzOY9mvuEr5p4qZUIPu4fMCy0qH7cMQmuPkJCDJGvQbBRTKGdQrRgJQqFnsLlaINWzE2A2Sg434K3Ns--u9z5ZoRfnrmtimsoc706ZVOEYl4dZ=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgBLnwXRBIGYf69aSLvIj24AM9_cm1_tLYOhF4PGquM0Zdus7wPGNMbv-A-KZJMoftfZfgcEcaiyS1paBSXYak1DG9hkzQQQRdJ-puODfRoVeHknAhksRA0RWiO-9FT-fuL__LN_MbfZX4=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHl0TfbVa2Q1Q4Xb88Pnv7E8UbhwurS6FxLOHmFOetGEB4qPWSHQu3VdnbZtaaANP2Uo-3pZN0Kt65LIOOwlpEzdp6si7hQPJJoxxtfAM_bujWg8-B0iV5L0Pd-_oqN3AG4-5zHAX3drZhV=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdEfKxUlPrlxb6Cv1CUhpmoW-2Ds9EeigI9u6sk_mvvcxgdFEcvJNnVKfk0woedkIORxIGeLJeoRCowAd_m9ZQGM2Eiz9DOJjONxhYRNKNLmitPNvPMQtZlqyw8ajDEyloJovZEIRTNm-a=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-AS7eZbg83e2VMAzohxk42yBtdc-geHrXMuuaaQy0U9J1ZugE2E2bIdA2QE7Y91U9WPTmJW3NVddzw4Fv3nK0BhoOf8zDJwM9SAD28UuEPJGpt-DJyL9VKNPvVOKUdtPQy5NGRxRHlRwt=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHEpxLJPckVU4rifbDVyefnMmPoK_fA_mUQE_iT_-fEZqCUq1AaSoTcITVdFwumfXrXbSnhNmpxBGmcPVcVeFTnxswO87PpNt5YDJqUUWSMEps-F8IiNI2fVZJhucwkbjTxe6jVVvB3-rNt=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHYc0e6fPjHip3egWh8BmV7OEsma3j94hv5fjChV19oWGay4Cea53MimBGaYSukVogchCqgBrp7FpZjXtPpDQF6mVKkimc-CSiVksYZGtnmOai4sN1SzfBmo52XJMTdxSXJy56CS9a3Y-oX=s2000-k-no"
Avalon Memory Care,5.0,4,Assisted living facility,4330 Allencrest Ln,+1 (800) 696 6536,Open 24 hours,http://avalonmemorycare.com/locations/dallas/,https://www.google.com/maps/place/Avalon+Memory+Care/data=!4m7!3m6!1s0x864c20b4cbd81043:0x1ac19a4846fda7c2!8m2!3d32.9107603!4d-96.8347544!16s%2Fg%2F1s04j4jj0!19sChIJQxDYy7QgTIYRwqf9RkiawRo?authuser=0&hl=en&rclk=1,"4330 Allencrest Ln, Dallas, TX 75244"," W568+83 Dallas, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible seating""]",32.9107603,-96.8347544,
Avalon Memory Care,5.0,7,Assisted living facility,7355 Royal Cir,+1 (800) 696 6536,Open 24 hours,http://avalonmemorycare.com/locations/dallas/,https://www.google.com/maps/place/Avalon+Memory+Care/data=!4m7!3m6!1s0x864c20762473f079:0xcd53bddb64c448de!8m2!3d32.8958054!4d-96.7779835!16s%2Fg%2F11bbrky0x9!19sChIJefBzJHYgTIYR3kjEZNu9U80?authuser=0&hl=en&rclk=1,"7355 Royal Cir, Dallas, TX 75230"," V6WC+8R Dallas, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom, wheelchair accessible seating""]",32.8958054,-96.7779835,
The Villages of Dallas,4.2,3,Retirement community,550 Ann Arbor Ave,+1 (214) 376 1701,Open 24 hours,http://thevillagesofdallas.com/,https://www.google.com/maps/place/The+Villages+of+Dallas/data=!4m7!3m6!1s0x864e97af4d376091:0xeaf0b1acb2e1830e!8m2!3d32.6911074!4d-96.8164764!16s%2Fg%2F11ghdjy3x3!19sChIJkWA3Ta-XToYRDoPhsqyx8Oo?authuser=0&hl=en&rclk=1,"550 Ann Arbor Ave, Dallas, TX 75216"," M5RM+CC Dallas, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot"", ""Offerings: Serves food"", ""Parking: Free parking lot, On-site parking""]",32.6911074,-96.8164764,
Avalon Memory Care,4.3,2,Assisted living facility,13215 Hughes Cir #5321,+1 (800) 696 6536,Open 24 hours,http://avalonmemorycare.com/locations/dallas/,https://www.google.com/maps/place/Avalon+Memory+Care/data=!4m7!3m6!1s0x864c20fa11547ccb:0x653398c19d5d5d54!8m2!3d32.9289668!4d-96.7985845!16s%2Fg%2F1s04h9c29!19sChIJy3xUEfogTIYRVF1dncGYM2U?authuser=0&hl=en&rclk=1,"13215 Hughes Cir #5321, Dallas, TX 75240"," W6H2+HH Dallas, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot""]",32.9289668,-96.7985845,
Avalon Memory Care,5.0,4,Assisted living facility,"7821, 6217 Crestmere Dr",+1 (800) 696 6536,Open 24 hours,http://avalonmemorycare.com/locations/dallas/,https://www.google.com/maps/place/Avalon+Memory+Care/data=!4m7!3m6!1s0x864c2106602c4acb:0xadea509b4ee01659!8m2!3d32.9476962!4d-96.796404!16s%2Fg%2F11bbrmsg53!19sChIJy0osYAYhTIYRWRbgTptQ6q0?authuser=0&hl=en&rclk=1,"7821, 6217 Crestmere Dr, Dallas, TX 75254"," W6X3+3C Dallas, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom, wheelchair accessible seating""]",32.9476962,-96.796404,
Lakewest Assisted Living,4.1,68,Nursing home,3494 Kingbridge St,+1 (469) 206 0640,Open 24 hours,https://lakewestal.com/,https://www.google.com/maps/place/Lakewest+Assisted+Living/data=!4m7!3m6!1s0x864e9b90d066ce4b:0xd68e92b3dfaa7487!8m2!3d32.7837574!4d-96.8628019!16s%2Fg%2F11b7gs7bh6!19sChIJS85m0JCbToYRh3Sq37OSjtY?authuser=0&hl=en&rclk=1,"3494 Kingbridge St, Dallas, TX 75212"," Q4MP+GV Dallas, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot"", ""Payments: Accepts debit cards, Credit cards""]",32.7837574,-96.8628019,
Avalon Memory Care,3.7,2,Assisted living facility,6908 Quarterway Dr,+1 (800) 696 6536,Open 24 hours,http://avalonmemorycare.com/locations/dallas/,https://www.google.com/maps/place/Avalon+Memory+Care/data=!4m7!3m6!1s0x864c21a635b862b1:0x7f81daa7e955245f!8m2!3d32.9521271!4d-96.7893201!16s%2Fg%2F11bbrhzj9n!19sChIJsWK4NaYhTIYRXyRV6afagX8?authuser=0&hl=en&rclk=1,"6908 Quarterway Dr, Dallas, TX 75248"," X626+V7 Dallas, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom, wheelchair accessible seating""]",32.9521271,-96.7893201,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHD35VsdS5bbqiqOmiKSFt7Og4Enb_iW3nXkUJrMb1JmlB_bBApGwm-HwPq23gOXU7iQomt9EzLbZS4auOqDrguZegKUMzDEhPyl1_eSgFW572Y7OFRKLcUVD3WSv2FVENuh3_hVA=w32-h32-p-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHD35VsdS5bbqiqOmiKSFt7Og4Enb_iW3nXkUJrMb1JmlB_bBApGwm-HwPq23gOXU7iQomt9EzLbZS4auOqDrguZegKUMzDEhPyl1_eSgFW572Y7OFRKLcUVD3WSv2FVENuh3_hVA=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFcmgmqBytmf6AH_0K40jZflIx30V4vjisSQfi8YOAo5XGvgI8oS6hDeJnsRbPqJsYcDrYyYqdDPA21LqvegpN7lY1XdQH1twAkQaMnzlth6pMPjh_5TZUCo5nXRGijCvgizV8lKg=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQpUcpOL6DSj5r92wWF8Xe81yuo5kE6srMLMqtMliZYdSjowZDQKvr7zYAp2QivkplB-qFCiUQpcZT5N7nPuxsAQRsDMZb_LmVAVUScq4qefjRsg3g7dQZL8h-jIXi1wG-8DfClEl0Z2-U=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAH6sAyP9EPrdJ3GQzgnsBqneOfYdbd9cH5KRdt4LCDH93Jg6zpxR2JmnC4FruM1DzzCCfcbCdZ3hqK-ahPNA1n9PysdTKUvNy4IO09227YA49fu3x6xSaV9sot_fzb8aX3uYW4=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1b-54c3H7TYbKBFUp1rDWYUbgMfi6s_tcFtbX87IdbLK7ZtltBM33nPbJhq2swQGrIVGpSUoq9tcMV3ILiFDoD2kRgVA0yD_cwCfGKxZ5rYl1urW-vjx7Y-ekRBrAUsV91KqAug=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHUjnHx82GR9TqRjotrX-Sn6GJyINjCg1KqwmrRMoriXahLNfs0O6mLpD1_zf6opVru3WdemmU3gdIEz4vAi12cX2oAe8LD7VSQq2KWJugEqZr6V84IuEguw5yE0UBTn_Myod02=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHVwofBuW4Y7IQXIJw9IG6nrNKmR_XMMk8wcYzlfzCiC0cy5HH5nNRMlffmAMGik6zWFX6Xf0Dq9f1IAf8XjHXNRl7PWUcxfnlxt8qvuIjrytPRksEXB3D0QoO8IsjjsG_F4py7wnEZDZx8=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmByFE9zPJkNCCxAEygDwJ1L2pc8pgeNgTGXTwYXJtn1AKZO7lA7cUrXrOHI9jSDVItSFhHLWBXRBN-0L8zg0YCx4vdC48476ghWlIIjCgCLuH2Iyv5xW_qr2NgGWcq16yV_K81V2JzWFO=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNTOjAk8pK9a9lFFSGzR0PoB-4FBbTA-U0VFoN8SOW8ZWYCtvrHkH0mAXQ8VLHe5lYV9SuUPwOL_E61IEVfjyVGTXdrRHLAJzA0ajUU_rykdu_CLyJaAz92c2TceiUQzOmvXTKzC5bxJcF=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGxCsbWaEXS7tUWBErLq9HFT_0ETpuml5QIVbGAUV0BWvrQSy-6v8_PV4M6t48DSKzO798a3efCauR4I9DUFCAOC_BECfCC1uU2dgZZwIpTPoMnemK8g0tEGoWdJAXef9zJEuFl=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdeolEwGGAVWXq4kWfhtdEKnPy-oOAaenm_6Tj_Ix9TMD8UBWImfzuwatrcV7Jk12IehdhbZ9MTNtbLF6b-iS1dGqWzLrpkomTzkzLTRLticjecxVjWfa6Q3qRAeJhnw_1elgrmTHz-Io-=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGeKczZO63Vm9CnVPqpvKCCYs1SkiDcc602bVnFlwxWFQ5D4ShorCm1WuTc6UbHL5R3WSO-RAe1Zd48r8IXEupwHERmsLz1_qBo8bAm_OZOECZ4q3olikG2zLzsdMb04J1Q2c1tge5DdmzW=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHEpRw9G2Bthleue5uTeYvxo0T6_8Dd577yJ395l-Yh2aJ4L-yXzvHrT_IksLG1s9XIYXtKx8uAjwfZdXTytPDljsaBeg85a8weqooQWOqmp33MmISBdAqvOdzjS7mGWkGCXGHj_QBm0e4-=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUHRu60vn6Bzwff259XRhL_Fj2H8hFOIuoLkTVoYK2He7TU37fvqzSKXKCXtJY0Vnf8UZEuNF6vRlSaVEOuF-4Kttyly-47cZ99bLpdYjCZjGWUDLuIfg1Irlp4Btso3mKPfDH=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7Dgyga4d5NknyeLUQuXd7RE3gZZgnh3MqL_KNupuDSf1WxpgWnbyLi25aLfetzc5Y9aAAPQORHsi0rCC3koHO5HpVtppsS_s9SM_FqyewQ0cEzHD9lZvue5GdU2ItlUN35Xjs=s2000-k-no"
Avalon Memory Care,1.0,0,Assisted living facility,7315 Glendora Ave,+1 (800) 696 6536,Open 24 hours,http://avalonmemorycare.com/locations/dallas/,https://www.google.com/maps/place/Avalon+Memory+Care/data=!4m7!3m6!1s0x864e9fdb420ca1e9:0xda738681c2058033!8m2!3d32.8855385!4d-96.777135!16s%2Fg%2F1s04bmmhk!19sChIJ6aEMQtufToYRM4AFwoGGc9o?authuser=0&hl=en&rclk=1,"7315 Glendora Ave, Dallas, TX 75230"," V6PF+64 Dallas, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom, wheelchair accessible seating""]",32.8855385,-96.777135,
Grand Brook Memory Care of Garland,5.0,45,Assisted living facility,5600 N Shiloh Rd,+1 (972) 530 7700,Open 24 hours,https://grandbrook.com/communities/garland/,https://www.google.com/maps/place/Grand+Brook+Memory+Care+of+Garland/data=!4m7!3m6!1s0x864c1e9fd1a75e47:0x5617e355887af7d6!8m2!3d32.966467!4d-96.664314!16s%2Fg%2F1tfydzpz!19sChIJR16n0Z8eTIYR1vd6iFXjF1Y?authuser=0&hl=en&rclk=1,"5600 N Shiloh Rd, Garland, TX 75044"," X88P+H7 Garland, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot""]",32.966467,-96.664314,
