name,rating,reviews,category,address_lane1,phone,status,website,maps_url,address,plus_code,hours,about,lat,lng,photos
Brethren Manor,4.5,,Retirement home,3333 Pacific Pl,+1 (562) 426 6547,,,https://www.google.com/maps/place/Brethren+Manor/data=!4m7!3m6!1s0x80dd338ddbbefe2b:0xc21972ef1c999448!8m2!3d33.8177899!4d-118.1961617!16s%2Fg%2F1tj9tm_s!19sChIJK_6-240z3YARSJSZHO9yGcI?authuser=0&hl=en&rclk=1,"3333 Pacific Pl, Long Beach, CA 90806"," RR93+4G Long Beach, California",,"[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot""]",33.8177899,-118.1961617,
Del Amo Gardens,2.0,0,Retirement home,225 E Del Amo Blvd,+1 (562) 444 1677,,https://www.delamogardensapts.com/,https://www.google.com/maps/place/Del+Amo+Gardens/data=!4m7!3m6!1s0x80dd336fa8065e31:0x3400053f0a71de79!8m2!3d33.8474906!4d-118.1919893!16s%2Fg%2F1tm8kx5t!19sChIJMV4GqG8z3YARed5xCj8FADQ?authuser=0&hl=en&rclk=1,"225 E Del Amo Blvd, Long Beach, CA 90805"," RRW5+X6 Long Beach, California",,"[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot""]",33.8474906,-118.1919893,
Leisure World Seal Beach,4.4,90,Gated community,13533 Seal Beach Blvd,+1 (562) 431 6586,Open now,https://www.lwsb.com/,https://www.google.com/maps/place/Leisure+World+Seal+Beach/data=!4m7!3m6!1s0x80dd2fbe88975191:0xa4ffac043d29dd6d!8m2!3d33.7674409!4d-118.0782434!16s%2Fg%2F1tdjx9tv!19sChIJkVGXiL4v3YARbd0pPQSs_6Q?authuser=0&hl=en&rclk=1,"13533 Seal Beach Blvd, Seal Beach, CA 90740"," QW8C+XP Seal Beach, California",,"[""Accessibility: assistive hearing loop, wheelchair accessible entrance, wheelchair accessible parking lot""]",33.7674409,-118.0782434,
Carmelitos Senior Complex Spt,4.3,13,Senior citizen center,801 E Via Carmelitos,+1 (562) 428 5640,,https://www.longbeach.gov/haclb/applicants-and-participants/applicants/affordable-housing/,https://www.google.com/maps/place/Carmelitos+Senior+Complex+Spt/data=!4m7!3m6!1s0x80dd3312ac81535f:0x111b950a4e174ba5!8m2!3d33.8482666!4d-118.1824035!16s%2Fg%2F12639b4fl!19sChIJX1OBrBIz3YARpUsXTgqVGxE?authuser=0&hl=en&rclk=1,"801 E Via Carmelitos, Long Beach, CA 90805"," RRX9+82 Long Beach, California",,"[""Accessibility: Offers assisted listening devices, assistive hearing loop, wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom, wheelchair accessible seating"", ""Amenities: restroom""]",33.8482666,-118.1824035,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGib6LHIEXY5uNELIUeKkXUDGujoKWrExpLwSdc-vhLbTyLQMNkITxc3VVatV5V_5F0PLdjpB2hZbRV0dKEGZDlY74qytgRtLuYI_CnQiqRZ_JKkMoYiKCBk-IV5WEH7Ty-n-8gVQ=s2000-k-no
Long Beach Senior Center,4.4,142,Senior citizen center,1150 E 4th St,+1 (562) 570 3500,Open · Closes 4:30 PM,https://www.longbeach.gov/park/park-and-facilities/directory/long-beach-senior-center/,https://www.google.com/maps/place/Long+Beach+Senior+Center/data=!4m7!3m6!1s0x80dd311401c0bfd9:0xf2c7509a37e4fdc5!8m2!3d33.771272!4d-118.1769037!16s%2Fg%2F1tdrfn_g!19sChIJ2b_AARQx3YARxf3kN5pQx_I?authuser=0&hl=en&rclk=1,"1150 E 4th St, Long Beach, CA 90802"," QRCF+G6 Long Beach, California","[""Tuesday: 8\u202fAM\u20134:30\u202fPM   \ue14d"", ""Wednesday: 8\u202fAM\u20134:30\u202fPM   \ue14d"", ""Thursday: 8\u202fAM\u20134:30\u202fPM   \ue14d"", ""Friday: 8\u202fAM\u20134:30\u202fPM   \ue14d"", ""Saturday: 10\u202fAM\u20132\u202fPM   \ue14d"", ""Sunday: Closed   \ue14d"", ""Monday: 8\u202fAM\u20134:30\u202fPM   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom"", ""Service options: Onsite services available"", ""Amenities: restroom""]",33.771272,-118.1769037,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4zBy63BhXRsthFp8Rzrt8iuBdiOYxo3cOLEgb6BoznqBy6jZ6_q5suFKC8swp7MY-swSzGMXqhFk-CBcHmlstrCCV2XIA-flKv16tRgiNx5wc6P3rYcBaLRBR2jELxcIt9nQ5=w32-h32-p-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4zBy63BhXRsthFp8Rzrt8iuBdiOYxo3cOLEgb6BoznqBy6jZ6_q5suFKC8swp7MY-swSzGMXqhFk-CBcHmlstrCCV2XIA-flKv16tRgiNx5wc6P3rYcBaLRBR2jELxcIt9nQ5=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmq1IIys7TUsjbdeuvJUWK8TjJNqDdbl9OOxunbXdNhvteSuiTHFpps7lqZedMt6xL3s7ZPSJ21-d1ovJqKPOv3kb0GwgqLwDUpkpqFGfsErjBR5FdPkEQtnftlZ89BDgxpUY=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAG9-d4GMPBTUwjtZlMSZMoRHxY147dlCJAN7t-RymQAJXJedVQ-L-NK6rtah6jg4__wFVbOd5mcrBXKjRwouxcpFHGGDQnpaZLcwUMZ9gEheVdvkeF5c5Vfd8peY4SOCCfCDdHH=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAH2vcTRo7u_39LJA3Lp_0lBlTQ6WIPojsh8cVOmIeKg2w3hniNiEyL67tCNt4HxmGrUPH24qO15wKSblGF94Z6pYZ7TN8jHFv95UhL-2wCk37dio_FAKe28yxrqKWBSs46dp8InkA=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0D8e6Ajnw8sRnpE-iQ_89yVFj0j1AWjFyZFGGYZeMV-N3hoqqZbqToFgofUR7jxXR_V1dLMmKAn1R-qi75fw-h_pXHwLw8mgi4PWUEqQ_iZ5kkbVQNRF9GzvlwXCS_b5znIOC=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAELDCKidv3_Dw3VKIZSfav1x8aYll2FmQ5vpC5tJ8h4MgiIdKgUdoHaG4A--y6OG7GO4oMUv5RojqGDU9LsOoaIrkzcH-HmzcN2RVhhFlchB-FOYiklCev4y1L0mwvK17z-zhJQKw=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEq1bbk3IUNs_at-T2rXv7_ILOl_Xj1ExlL91v2wm3PyTpbquEHjfFLFPJ56-ym3STzrL0a2EYAOAFYrNLIztB6Bm6z9BXmuJ2JGTPyQgDU8WjRny5Tv9WOzPqGembfRSkkjHO2ug=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEeXnX8mf5hGdcIwJ1OR3FH5AKuziGnGsw7D2ALG6KUzoUGizms3PfzQ-V_loCvRBYA91xWBrzo0PQk47riD5SExBy4MMnqG86Suk759maa8RL4lkvLL8J-l-6SAYZAchQ-1sbsPA=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGCu4WOzgyHQVT1QMfXy0jl2jLMKL8nGTft5MOU6QY_hxVwWLXu_JP4DNqzPnjeWvt9ppDHL3eSAGkE2ytRM7D6mmbDHwBjUoYpa6XXCS7qDYyPeVlRB9eh1LY6UnJ6v91fsaySqw=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAF115l0-0_9R-Pde723xI4pqj5Rho2i_cKgHyyX4FBNCpVSciONTRUYGVn5KI_36kUOK9-A-Bnomw_MzIpMSl1SfjQ6qtIS9r9wCmFdlo3TS4uIotEOAEMXBE5XZsUryCDbYlrc=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFmut29tZ6xdvam2FEqXpr_r9CEcZv6QQBwzoyMsUEOM-wpWDt2NZfYosoEcWV7WD0FJdBVzjpdjZFjLqOlSo6hyu6kZ_acXKMXDfZ_eid8mYsctiaMNvYQ03yRQkdH4hxiKdaB=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGVWlVYd91zUVn5gD-3q6w0j4yxRrbbwXSQqc1Jyj2aZbgmTrhjEBrCaOuW4avDxgC9YWXdF9yhcS3QNhELrJduNGpQPgOz74WZUwaHmQKpnToLbE64i00VKpGhA91Ya6NqRXS8c-z9zRX1=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1ukFkN-QSvCHhp_7O2lcogye91mUv3inI7S_PGFyqcdq9-mu_-KcaUgUcvEcgx_UihRz-v7wU6GC_UzJcIz1FaZYWT8PwozU6ubquXQUa-dVtAxiltqVbgDcCVr3nVEGA-CQ=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmwO1yuTaUICtDvutxdFRmj375SXlXpkx_kRay-AudI9Z0TwuEcCnYemPVgnXJkAcirvyV0m4QhvE2LdN7C3LI4dnxXOsXPVNkG0RkDUyfN3DRRbdyRf0OJNSE_KqElsTxvdAwkQ=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwhRdLVFeSoM5Gn2CVAg4kahAmlFsaINktLwPGtDqBDP8bnorxdou4ysqBL2WqNkUhlqE4PJRo-EMn750VN24mXshFk7NYsF3UPZzMx8l6uAji3lX82HOKDyPqXjZ7V0ovxKA=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2hay4VEM2IIPDghZQwv3XpOqllYzyjOMPOEfO8hz7HXo25DS8mcJ5OcjqAW4Ej7YFWXtjW-wERGjX-3lqgpHY40iKHivCkHOrouGAQ9DUEzYLld0jAlgAFmxw_4Ww5OU0e2jTXg=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGm72P-fK2d7KfUF554ZlR0OcYCW0A-yZB9KQ-9yfJLiAQVc0I1D4TSMDT6qtU87Y5RWg8HKd7bU2GjY9qDJ0X_1eWb2HGksYYi089TxydgFcj2BoV13sibmC7roHja3zbTid_mOQ=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAE7ejTlW3oeWf7jhNMNTmKEAZFAJAue-b4f_mGtGFMRmmCfj2NXCmjXJ4Z0zk5A3TlCagMYs5oBxtisRnG_bI7t18qYR-cvb6ydhNAK7NbzJMiOrwBLv5I41P7sNALZcRcOn32sTgxqyiv6=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0yZoeJrdlEf0C_gP6N12pzmLTBqBk4TNfFdvhWkhsJKZVbtBpbrBG-qqLbCh4lEBi6MggG1YwZMbgx_cxKzQrc28OVQDxNqBRw5EZ0Pfqg0o_iuWxt-MCiOvUAJaXU8buwurV=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAF8XLJ32x99etjXG0c41n81weBi1zVr7lhd4Vd_iKOYijV2vpFDSjeCZDWifZ4mIWmW9YBHTWF05bTn6Vo9m7r3EnOnkrr1-JEL-6k9JZyuC0TnkP1l0noALoOCwFL2hHqaLoa04w=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmejQTDSHVaKPiDBCTQmD63XqgfW5vavlp_UG-D5sLcK4YLyLWW9jYAbqqM-UOV5_G0z2_tIMl5NmQG6ulqJAGkMZVFRTsg8FqQsR-EEQr0cb_CHy_Z3unRRgLzQFiSEEyhbv-=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFfmqkWqaSt0UA0hVF8Wa7SyvI-BOUGIoBlj9ZEhL3Xlix00uy9FaV1XAmwk36YCKphSlafEKr8T6bVTgdn4osG_5_2k2um8ciCp8tW2BUq4eZsUxCrZFznfAtvkty9utp-FJL_=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrLflOQKB2ChG8tAc-d6lq_JC68PSRvIxh7mLe1hjhg-BkBTF5aGnK73YNufUIaEkF-QgJ5p66Bo4-himk2kNdEBv0b9ISFoIabS8uPYAjBxkdxyAAKluERnNZP4siYnRj8cn3qw=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFEOZnaEQj3xIBBW8CVLC4q0rWDR2_E5ht6Pe2ZxJevBMyYcr8OpaB96X8K83LqrOUmAdC5S7f_bAkw6JMVju_XkB-9w1GQQrwSbwIznxRzrXFMGzhPcb5UZjp-KRt0-5hg_Jle_Q=s2000-k-no"
chez bon guest home,4.6,22,Nursing home,"1206 Walnut Ave Unit #20, Rm. A",+1 (562) 591 1411,Open 24 hours,http://chezbonguesthome.com/,https://www.google.com/maps/place/chez+bon+guest+home/data=!4m7!3m6!1s0x80dd316df27f18c1:0x2371eb56617bf683!8m2!3d33.7820165!4d-118.1716504!16s%2Fg%2F1tjv3tvb!19sChIJwRh_8m0x3YARg_Z7YVbrcSM?authuser=0&hl=en&rclk=1,"1206 Walnut Ave Unit #20, Rm. A, Long Beach, CA 90813"," QRJH+R8 Long Beach, California","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot""]",33.7820165,-118.1716504,
Somerset Homecare,3.8,97,Assisted living facility,1309 E Somerset Pl,+1 (562) 612 0436,Open · Closes 5 PM,http://www.somersethomecarelb.com/,https://www.google.com/maps/place/Somerset+Homecare/data=!4m7!3m6!1s0x80dd33a442300001:0xe869a8c93b383405!8m2!3d33.8320043!4d-118.175043!16s%2Fg%2F11fm3v8p9n!19sChIJAQAwQqQz3YARBTQ4O8moaeg?authuser=0&hl=en&rclk=1,"1309 E Somerset Pl, Long Beach, CA 90807"," RRJF+RX Long Beach, California","[""Tuesday: 8\u202fAM\u20135\u202fPM   \ue14d"", ""Wednesday: 8\u202fAM\u20135\u202fPM   \ue14d"", ""Thursday: 8\u202fAM\u20135\u202fPM   \ue14d"", ""Friday: 8\u202fAM\u20135\u202fPM   \ue14d"", ""Saturday: Closed   \ue14d"", ""Sunday: Closed   \ue14d"", ""Monday: 8\u202fAM\u20135\u202fPM   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot""]",33.8320043,-118.175043,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGgX06IMyMT8V13Q5Zp_SsV5-RkTIbnHy1nV9DrRXOEF-0S93JOoS8UHBOAPKKtHFnxfycNK8iYx2eGjT0t30M-9gu7sKB7-HrqIEfebshwNUMHL9KEgb6MfIZGquwqAYGUYa4h=w32-h32-p-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGgX06IMyMT8V13Q5Zp_SsV5-RkTIbnHy1nV9DrRXOEF-0S93JOoS8UHBOAPKKtHFnxfycNK8iYx2eGjT0t30M-9gu7sKB7-HrqIEfebshwNUMHL9KEgb6MfIZGquwqAYGUYa4h=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGX6KX_lLLY90Usa0TiUi58061h_G0xBbie2xA18n3QcPVSC5WW-qKeOh-LVtncVOa3rNmzDg054XhkxLV2bMWb5_AjQ7oYdDFhCEdv7Q920nH0lW6TdUiho5ir3jRMamxUQbY=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGnOgDzLNV8XMGErlUzG0gmm2WhwmUg-m-cffrbHrIwUHlF0tUFQjMgEFjUclSaKysn10DRaTQFaySfkJxbrhAlJ64_NUWZNQyCyg1kmrHwPqcXEVfpNiyHc0FgwoJb0h0PIfE=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwYkqvtKiDlsKe8R9oLSVhItORM2-srKmAk7zPH8KiUTQu5pBY3mS1GmY39zSH2BOLt9Ei7h3-povbIm-rowfYedBBTJH3wSnxtlP7xUToC1mQ78snT3ogDAxcDA6BU4DmOXMPTQ=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQlTfOaLdOHqBIGmXnhnMfgpUMKDE7t-fJmGJvLIc2UJndyAkcdy24ntZQrhzez0rpBI7rAJAfqHX-lJSEq6PUT01z5b3gbned3LC_fcVS47Uyw0MDDQDYqOpwryAK3_e_zqdg=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzKxhF1V3YGyPll4oUIRQU5vj5QHHqrUpOQlXwYPtb9Bo4cZFaifXQgq5ueLs8cWCEA43_bgsFRC15i_HijtPD_g8Mk9ABobFQj_p2ljHCry6YjUFeJ1TmdDrPgrMeh3hWOr8=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSfahvOX2u8lBHb46H-OJ-ssalHxZyhK14Jb1Kar0-oKBxlJ1Dcdgz5uMzmegkEVxSZkbO3hs0t7W6lJ87fiQMbWUas952U7cOCGCY88NRIHPccT5t7O6bSN7-_T6RK4NKX1JrEw=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGWRBUmu7D-qZj61-7HEfuVmkA4v5zvzZQXmOtOsdmEWquHXlE3ldWU1BIUxB1N_dRehJ2mrZ7mdlIXdmZxhwY3_5u9NK_fs-7w5WYJTXWIEPIxmPoGL-0B0EttkQKjRZ5-0kdo6w=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHHgZ9hcxtbngRFCvGr2In2DbtZ2K95VdIHFBpwieZHMckRpC8NOJ1pXGYZnE2R_UyL2US-fKeHVuoMMiXRpM5RSwGiACfZy-5yG_eXakAgAGfyIH9pgammPzzTEm8MBdYRNeUF=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-6j3zUHzWs63SXEkLGDPFdHRwHmh2XWASaArA7kD_JRqLyWRJ_rfhe6oxUWYHYiGj97o2zlbpHRZJ5uUfi1QRpZX4gsNfv9HaMmpuxZivJBbY4nXmqdORRn6CoB8L6HVlGGDM=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1wciV_8kKJ_egzk-P9aY36SB4wQc9BAYGp7DfLTu_7kG6qbnhZCo9BSsoql2my6nhPKYU3kGgNY6ZoOhOrcx4ZTkPYATK0yQ2-DeYn1ajIEyIBv630M3GMDC6WfLmlWD-fgHl=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFb_RivNlliqlXfG0D_eM2xzNhKCBdd99av6rYQbjC_4ezwH1lKDmhxFc8JBrr_RhHP7eOMOaSc3PNBK6y_jgGBiTL6BPRXG0II84lKN4OzsmS6TxKFSxtaaJM-VJZCvixqAZRq=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNVHuErjsJBuj9TswAeI43IWRCgsGXyP519FB28cLVhLV1wkC2DiMgdyreGLNA-QtA5r9Z29I0-7na_ZTGEcyUlvPkrZ8Kf5DKmvSEO0vSdCyj_hdHyQ4T7DUJmrhzW9xnsFGADg=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGaxxnTJevyr7SFrWXNFTGsXwzqTMqNXsQfg4_6ggGGEUdL8wZZDcz2lEr4zMivCmwr7mO5xoAUC2zNSDPreTe5aoVft4YGytSmDJ7LGsEXmpxPXpChyc8d7_ZIsX8olzeDgBMf=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHw_0Bat4LFH--u3lOiruPipxdqplL3KiZezgZ4givkqDak3IIGT7Wsa3FEpehAKb8AUzBc0RpnahuJLDvxHqeZ8uRk2Gk8LNKwUFEgO-IVQ2oNzOdrez0nIK66Qw6xvQ_hNVdB=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAG799oE0kmQpRpTTEx6gWvin1eAjEBjEsvlJ8Pb7TPojkLbFZZu7sAdziftLeG3W3Xrl68MP7PXRQoFTW5g-6cpHAkJaKyL6TCRgOiiyD1xE9bW6wd7z2SYstIJSYzimYNh5jVo=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFtMd8awLreTvT5v43HSH-gMgYpbkeM5GURyXmT3SuvU4UInJAHx7WMK9_yIHwC-oLkSiK8EX8ooa6ZhD_WCC2r2N2-E7H1NEvF0oAB8kJggZBS90ird12XyaiVD7CUowe_ohqssg=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0KvEnsvUoVmiUgtwGm50C78j9Ya0DNtBPHND5RhZPYVrd6e-hL4jJtiDiz-B4a2t8h3IVotATN-rbGifwVa2JcNUi_5kv9cdI7J-yRJJQrlihgphOgPRMZIWPVISiGaQ1LWg-cw=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-wm10pty-Y8yWqu0XnCmhc4LviKtnjQolh-Gl26hw58RrZRO-WIni1RsB5gynq7aX7KklIX7qW0s4xZKa8wv9y5zZRKwiGjk6mWLJZq2Ofxys_TJcQF_xgRD6kxOydpvtvZqeqg=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOEf5CE7578d1WnGZZ1U6ULtJb2lD-EEZ7Cv4ckvmQt80TTEeVwR9kQIk2EkLh-j1SnnOsPwnfVXExlSvRCRffx31GFOchiQEcTko9up3newiSA6uGs2mffhp3BvWTAS7ADUo=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHgM9k5cBTV9DrFN2GZWmGkYYPp8FBXhPm-IWH3ei5s9aOn9rnMkNlgbLg0PFk0xnTsxzB_oFObh5qm5GoKlGXsy0ZLdVUdjLokbLPm4U6KTBQUix5jZaq5B3aVzKnEBaLCwqW_=s2000-k-no"
Savant of Garden Grove,4.8,10,Assisted living facility,5900 Chapman Ave,+1 (714) 898 3524,Open 24 hours,https://www.brookdale.com/en/communities/brookdale-valley-view.html?cid=yext,https://www.google.com/maps/place/Savant+of+Garden+Grove/data=!4m7!3m6!1s0x80dd2f28a6ad24af:0xee99648a62380aa!8m2!3d33.7882094!4d-118.0300745!16s%2Fg%2F1tvq4fgp!19sChIJryStpigv3YARqoAjpkiW6Q4?authuser=0&hl=en&rclk=1,"5900 Chapman Ave, Garden Grove, CA 92845"," QXQ9+7X Garden Grove, California","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot"", ""Service options: Onsite services available""]",33.7882094,-118.0300745,
Redondo Plaza,5.0,1,Apartment building,645 Redondo Ave,+1 (562) 433 5747,,https://www.longbeach.gov/haclb/applicants-and-participants/applicants/affordable-housing/,https://www.google.com/maps/place/Redondo+Plaza/data=!4m7!3m6!1s0x80dd319fe6a5a67b:0xc03802178a61276b!8m2!3d33.7743447!4d-118.1526338!16s%2Fg%2F11js49htcx!19sChIJe6al5p8x3YARaydhihcCOMA?authuser=0&hl=en&rclk=1,"645 Redondo Ave, Long Beach, CA 90814"," QRFW+PW Long Beach, California",,"[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot"", ""Pets: Dogs allowed""]",33.7743447,-118.1526338,
Immanuel Community Housing,4.9,11,Residents association,3215 E 3rd St,+1 (562) 252 3587,Open · Closes 5 PM,https://www.tsahousing.com/property/immanuelplace,https://www.google.com/maps/place/Immanuel+Community+Housing/data=!4m7!3m6!1s0x80dd31a9392f8957:0xb20bbc0e4dcfa412!8m2!3d33.768308!4d-118.1542806!16s%2Fg%2F11c60crqtb!19sChIJV4kvOakx3YAREqTPTQ68C7I?authuser=0&hl=en&rclk=1,"3215 E 3rd St, Long Beach, CA 90814"," QR9W+87 Long Beach, California","[""Tuesday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Wednesday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Thursday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Friday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Saturday: Closed   \ue14d"", ""Sunday: Closed   \ue14d"", ""Monday: 9\u202fAM\u20135\u202fPM   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot""]",33.768308,-118.1542806,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGlAixfGcedHp_KiXyFyL89QbuAmTdYJWe1VxKVse01Rh-DlzuZF9hVfWWTWlkMbfERc4Gcj8FqoS-CWy857rbJk-b8faLi4QcW1jdwct4YaMy36EaW_Se15qfAZ5eNXRnxkCpL=w32-h32-p-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGlAixfGcedHp_KiXyFyL89QbuAmTdYJWe1VxKVse01Rh-DlzuZF9hVfWWTWlkMbfERc4Gcj8FqoS-CWy857rbJk-b8faLi4QcW1jdwct4YaMy36EaW_Se15qfAZ5eNXRnxkCpL=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFe5OOfHSGAUGYh83tul2Gy9tNkttz0xR3WqQZOubPB2dlJjFnO1GL9YNkO5zN-tEeeqX_jaTN4-fMEnfjd4jX2ugURuvjRyMmCVzNsRQiux5bcOQGAIswRycxpEIGeqD6A_sTc=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNyYxLCM3RKlAC-91D5RhnAXO7SZqmyRiLxSNVMdmkRSIkgpP0Lok7NU9H4LvzWNb7g1Txx6Sa5lAFv_9RvapxHtqxjk08aqPlP9zjI26uOBCV-SAKD2u4d4pAC-4uOlkCWpHrUg=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHuQi2IPZ_pgFtpx8Kz1uAY53zM3kubIawUgcCLfP_7rzqNyo75PuJFOAuMiSL53BxJnDnyKmXZ4dnCTBBGUHC67LA5NHkAQN5sxs8TFbqVZT4eXEGFVhjcAJDvA3TgKoL4Jodc=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAH5c7ffyE07TqgG3uK4eYsBYGhMknQJBs3Ti2Q6FbAD9mJcx0eu56m1LX_yS09hoyhT_H3gYNPOP1HDJRhtEuSnT3HhPAx_5P-z6WWPINhWUiOtEMOapOCmJZCfeMvdcfejVbGr=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAH__VVXJaz5AfTLR43lUyjtvE4b4bhYTh8DyhCmYQd5NIQgXztz0CfpFoHwy598k5o3Uqjfsi46pxhSUcMpbkSWZ7etJAYPL4zU0JQK5HToQY9oA_vmL7DHSs6Ut4cM5OIua_KUPA=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAELiWoavJTLgyT7z4yzTEtFS3VweKWeyMc7gTvjYgutLHEYKiuHhCNWzQHEv13N20CNy1YAi9EzdwcUSPM3jVYxF6TFpuq0AvbuVicNwN-5559yyaR65ZoCt7v2qphL3zKz5nB_=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHfIr58aw-O9FPPzpelq17QDm8Jwp9ER7Cgqn8ntwdGlCqCaPmqHpjp2Hi4nVDbSc5ZlLgW-N0SJ2kbTXYj5RSReEICkeSPtyHxzJKCV-3pJwQZCVmsZpyVuhziz6xTXVd06gm-=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEXtG8B-wIAZsRXu7xhAZ3Qk7L6xxLdRcb3ewMq7RciB3BZWJHwsacOj6jEUsAckqgpE567vOYMRhHV_fQnsxNXALBACkrZMJXXx1PcE4lzT2l8amtxsZfbTdJByiYtWbbMNe4x=s2000-k-no"
