name,rating,reviews,category,address_lane1,phone,status,website,maps_url,address,plus_code,hours,about,lat,lng,photos
Seasons Memory care at Shavano Park,4.6,,Assisted living facility,3411 Paesanos Pkwy,+1 (210) 584 4238,Open 24 hours,https://www.seasonsalzcare.com/,https://www.google.com/maps/place/Seasons+Memory+care+at+Shavano+Park/data=!4m7!3m6!1s0x865c61647148649d:0x3c6535f7c9cf95c5!8m2!3d29.6002207!4d-98.5458606!16s%2Fg%2F11sdnjxdjj!19sChIJnWRIcWRhXIYRxZXPyfc1ZTw?authuser=0&hl=en&rclk=1,"3411 Paesanos Pkwy, Shavano Park, TX 78231"," JF23+3M Shavano Park, Texas","[""Tuesday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot""]",29.6002207,-98.5458606,
Seasons Alzheimer’s Care and Assisted Living,4.5,38,Assisted living facility,8245 Old Tezel Rd,+1 (210) 584 4238,Open 24 hours,https://www.seasonsalzcare.com/,https://www.google.com/maps/place/Seasons+Alzheimer%E2%80%99s+Care+and+Assisted+Living/data=!4m7!3m6!1s0x865c8c5c5048133d:0xde89bf7b7885e490!8m2!3d29.518194!4d-98.6601806!16s%2Fg%2F11clyt77js!19sChIJPRNIUFyMXIYRkOSFeHu_id4?authuser=0&hl=en&rclk=1,"8245 Old Tezel Rd, San Antonio, TX 78250"," G89Q+7W San Antonio, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot"", ""From the business: Identifies as veteran-owned, Identifies as women-owned""]",29.518194,-98.6601806,
"Red Oak Memory Care, LLC",4.2,4,Assisted living facility,13311 Cassia Way,+1 (210) 672 1234,Open 24 hours,http://www.redoakmemorycare.com/,"https://www.google.com/maps/place/Red+Oak+Memory+Care,+LLC/data=!4m7!3m6!1s0x865c8b820f52f775:0x25b474c3c3703b7d!8m2!3d29.5629433!4d-98.4731432!16s%2Fg%2F11frqvfgny!19sChIJdfdSD4KLXIYRfTtww8N0tCU?authuser=0&hl=en&rclk=1","13311 Cassia Way, San Antonio, TX 78232"," HG7G+5P San Antonio, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot""]",29.5629433,-98.4731432,
Bader House Memory Care of Shavano Texas,4.2,4,Assisted living facility,3411 Paesanos Pkwy,+1 (210) 408 1002,Open 24 hours,https://baderhouse.com/,https://www.google.com/maps/place/Bader+House+Memory+Care+of+Shavano+Texas/data=!4m7!3m6!1s0x865c615dd8eba6bd:0x61a5ed364f7f107f!8m2!3d29.6002096!4d-98.5458042!16s%2Fg%2F11c0vjc_x0!19sChIJvabr2F1hXIYRfxB_TzbtpWE?authuser=0&hl=en&rclk=1,"3411 Paesanos Pkwy, San Antonio, TX 78231"," JF23+3M San Antonio, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot"", ""From the business: Identifies as women-owned""]",29.6002096,-98.5458042,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFCZRfx3nKgHyR76PwSKuMAUNXlYzPRHAC3hGLE4aHkC-5GGzNU6pRlAiZJkT-1Ht83cHVKRZHuTmatwUoOdt5Shgtvv7Ayjeck0AH4-1H66FefgS9xLQB8Lm88eVotdhtS1IF2=w32-h32-p-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFCZRfx3nKgHyR76PwSKuMAUNXlYzPRHAC3hGLE4aHkC-5GGzNU6pRlAiZJkT-1Ht83cHVKRZHuTmatwUoOdt5Shgtvv7Ayjeck0AH4-1H66FefgS9xLQB8Lm88eVotdhtS1IF2=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEkhqcWX6sc8Qt3NvE76RvTmU-jFsqcdVUSbSQOBeg6nyaAGfxjXtx2orRoqaJWX36FWV6HCNA0PwDgHjSQ7-2WjEx9A_5H21_4Fcvi4MK7AwoSEqfZ0z5aWV3sM0VSExXafQC6=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGR1vTMmBCJRfWyCYIvmnSCzGI0OW-Nm09VAL2x3VmL7jPdQKdeCyFFXhrPEMB8zZn5lmtH5TRpq5whN6PaAmoKFXIEHCGWv3M2WiUldS3bWkwUmi9VQYeXXW1B8eIsb-8wf4-LCw=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgvyliSQChvCtm2RIic5U99-JCqE1CETBCsFAPFnMCDcuZ1bphfm-l6QOXBYsOHKLY0uxgM1bLXA182QjGmGriiwVpZnSbFaNf0M2iCfQ4XgcYo1tj8R6SOT0EqD7SzPWSyeol=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHLH060jyFGrHXN1NTq3oQnlYdUL5JUFUer5ZTJ1Jk_AOSLzw4XLw2TV22vlN9N62uUIGWhlZBeGd0AkQXKZ-6809KpOGMozkR2KHpHSH_J6e_xNKKyLhB-NuhIyy0jbDDFyyql=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFFhA3LwBCEgMrhyd6ZpWANoaaoScIBNmojevjKZpUnVsXd8GT1PCxrx3IvvUxd-Crj-36dBfaAxLHny_xGUNRIBRd66m9uG4FyxJ0L9gEPT5OUP3eByNccIwXtzYNGvntm5YQ=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGiOocg5PwUHWoM8hYQUWOKxRfFt2QDbl6odGja57IbmOZ2nXv2tcwrnmG83dyhNcDVxzvOuvd7EJEQz-eIEh-t-pTXfdbfR2wMw3i5_H82-YWmS2yId6F2sQTVkkS3oQ0SctvD=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGRobqH2Itpv80KDS1BcSU72Ryd4iLE0W4FHII38PRdH3SN69UJ-xqr2IxEt_OGKO69WOKGCag1DALqUyTtO_bOn06khtABYl7mBn47yzDQimUVlD1-5L-syprdfTtaKY8mBhY58g=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHc46mz3qBtbHmvrMChPQKebRM-UCyfXdkAeTylTAvUC0TOm9TgtTwkOh8stjVueph3C1uaZuZ_2ZXUBTNFP_S_4RSrVIgUDvuEI2wvbv2eoU-pBQmd_OcF7ebx2o0yb2EWUxzA=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAF5N1C143qfYXLjJGNizNB2fGeVGL8Ovj0QM0qRx6r2e-F6X8r4CQ59u9bv2Yg6rqQO7JSl9T2QUqizkOXXs5bE1-0NYLzT87dm18v1D_qXOnJabfvr2_sBKdCpOb0Xnj6ol8nl=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEkIu2TYIzMdiO8wqLhFRb9NvNz3IYx9aZi6DkQ7C2qGRzL8KqQjMlmxz8qS8k50g_P--ctwJ_b_8ou8o4lmBsYxHyUEnlf1SZXF1PkRiCVX1_ufrs9PNOEPfmS1KLFe16R_RU=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEjExuy3-7vMZ6lxlxrmSR-n4qA3xrmjBDoJ-xW9YpRC0lCVcTwS2YMQ2nGfwyHK640NEVozOTJdf21WYUbRfV4oSeyz8UYc7MN_UgFBPz-4mWt95IRzbUOt51XqCrWHF-Z67qo0A=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEbrIC4f7LL9e4s_M78-G6kBtv09v44a2sjffjH9Hcd1MS7hu2rjOj2sA9wH6EEHPQXfM1Fsuc2TP_PgMHhfjjIr5-7PElM05NwHfBOOr2ZYmwNkfaJp9HvYCDpOIV8t3Op3Qzv=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAErl9lWnzS7uHV1Ttwb2DpvIkVqLf3Ybn9kcDav-viTGJ_fvZJ8RbYTSgVY0ZjpG7nAsO0Xl-IAnmB-zSlPv19jiygzvG9oxieFMaABq1RSKV9J3K5xLWIHkkgkhg2CeYzaF-pA=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGCq-7RqRVis8AHvJtgQRwwX9Dl3DLhY-YX4bBN-YXPmyl_cdOwGeM6F4_3Tsl16IGQbeRQCfdaO0oX9lF9IoUwNM3PKzxElrHqSaxx4-AJEOOEPRHbPbetKTFZc4IMYynrKcP-Iw=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHj6lJXEkmFinEPnVlDLeLn1v8i3ISY16EQzHdN_4Hcpfb8p426X6mlvKnZusytpIG6TUsLHhupYEm7v_zIXteASOBPZ5wIYOhwjgscQOs_KXa93E6JEXknVse5FqdM1xZLHSAX=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFAz0LLh9PXHlGunEUeSMan7qTiUxzLCwetrWY9ts5NCOPQmMhWW4ikcj6VYOB0z2IdfjiivwqmIS2n1SfR5Bg7AliAsj1lBDMSd0KAciPy4s12dXpY0CtblCofRXOYKVusjais0w=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPEHKURMGkReSVn2bjgATi_VtJ-FMJzs9nM4rAkK0StwmlNjc7pG4a-rWXfPvkBVYaHuUnwgZ-87iXyfSyB3Q6Xzn3GEarl1KB8YS9F5rgX48JfpbYz38GkjLOHPkmIcOGp77p=s2000-k-no"
Seasons Alzheimer's Care and Assisted Living,4.2,19,Assisted living facility,15170 Nacogdoches Rd,+1 (210) 584 4238,Open 24 hours,https://www.seasonsalzcare.com/,https://www.google.com/maps/place/Seasons+Alzheimer%27s+Care+and+Assisted+Living/data=!4m7!3m6!1s0x865c8ddfaf9feb9f:0x848aa8a986130172!8m2!3d29.5802488!4d-98.3692131!16s%2Fg%2F11t6kykd91!19sChIJn-ufr9-NXIYRcgEThqmoioQ?authuser=0&hl=en&rclk=1,"15170 Nacogdoches Rd, San Antonio, TX 78247"," HJJJ+38 San Antonio, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot""]",29.5802488,-98.3692131,
BeeHive Homes of Crownridge Assisted Living & Memory Care,5.0,26,Assisted living facility,6919 Camp Bullis Rd,+1 (210) 874 5996,Open · Closes 5 PM,https://beehivehomes.com/locations/san-antonio,https://www.google.com/maps/place/BeeHive+Homes+of+Crownridge+Assisted+Living+%26+Memory+Care/data=!4m7!3m6!1s0x865c6563b0a1a0a3:0x44ba5eba32de281!8m2!3d29.6148072!4d-98.6194012!16s%2Fg%2F11h3znhrgq!19sChIJo6ChsGNlXIYRgeIto-ulSwQ?authuser=0&hl=en&rclk=1,"6919 Camp Bullis Rd, San Antonio, TX 78256"," J97J+W6 San Antonio, Texas","[""Tuesday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Wednesday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Thursday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Friday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Saturday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Sunday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Monday: 9\u202fAM\u20135\u202fPM   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom, wheelchair accessible seating"", ""Parking: Free parking lot, On-site parking""]",29.6148072,-98.6194012,
Pecan Views Senior Care,5.0,18,Assisted living facility,6960 Pembroke Rd,+1 (971) 400 7746,Open · Closes 7 PM,https://pecanviews.com/,https://www.google.com/maps/place/Pecan+Views+Senior+Care/data=!4m7!3m6!1s0x865c67f44e1ea547:0x685c33955a495f7b!8m2!3d29.5370217!4d-98.6253818!16s%2Fg%2F11fpkm22m6!19sChIJR6UeTvRnXIYRe19JWpUzXGg?authuser=0&hl=en&rclk=1,"6960 Pembroke Rd, San Antonio, TX 78240"," G9PF+RR San Antonio, Texas","[""Tuesday: 9\u202fAM\u20137\u202fPM   \ue14d"", ""Wednesday: 9\u202fAM\u20137\u202fPM   \ue14d"", ""Thursday: 9\u202fAM\u20137\u202fPM   \ue14d"", ""Friday: 9\u202fAM\u20137\u202fPM   \ue14d"", ""Saturday: 9\u202fAM\u20137\u202fPM   \ue14d"", ""Sunday: 9\u202fAM\u20137\u202fPM   \ue14d"", ""Monday: 9\u202fAM\u20137\u202fPM   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom, wheelchair accessible seating"", ""From the business: Identifies as women-owned"", ""Service options: Onsite services available""]",29.5370217,-98.6253818,
Brookdale Nacogdoches,4.6,28,Assisted living facility,14595 Nacogdoches Rd,+1 (210) 653 6100,Open 24 hours,https://www.brookdale.com/en/communities/brookdale-nacogdoches.html?cid=yext,https://www.google.com/maps/place/Brookdale+Nacogdoches/data=!4m7!3m6!1s0x865c8c6176902e93:0x183948caca20574d!8m2!3d29.573611!4d-98.3790332!16s%2Fg%2F1tyyxjpb!19sChIJky6QdmGMXIYRTVcgyspIORg?authuser=0&hl=en&rclk=1,"14595 Nacogdoches Rd, San Antonio, TX 78247"," HJFC+C9 San Antonio, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot"", ""Service options: Onsite services available""]",29.573611,-98.3790332,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPAczwjH0tjkluU6Fb-GMQuHkZFVyKCc76Z8dLq8XLUhIpFnYC2NtalfvjWFKYhuyD66LZkf-psMVsFPq4xOMxtmx9xaLhhca_CY50-dRTZ7XVU_-hCz5zEfskj9u-I-TWOMRIVQ=w32-h32-p-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPAczwjH0tjkluU6Fb-GMQuHkZFVyKCc76Z8dLq8XLUhIpFnYC2NtalfvjWFKYhuyD66LZkf-psMVsFPq4xOMxtmx9xaLhhca_CY50-dRTZ7XVU_-hCz5zEfskj9u-I-TWOMRIVQ=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzOYeDIB5_EYNnasoIbw3AxtZdHBRUhgoiqwYzvTrDkjHl2nttU6GAQ4Uwg_lzKM72NJYJuOHfW2fIx18Whf3R_I6v84teqq1c7GpxG7gF_BIA83LECxKB_5OFUx3iuedpDTUkXQ=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEDepxLP5CMhBSFIx2HWANaJItyW7EGcCJ3HwHzsXetlRjBMELtjYx4HON7XvCia417tXETFiFnT8PQJ9yzmhWdehYOBgKO6VQMdK-F274wssWxUVwfGTMLdd0xODNJGl5M9iiF=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEsyT1p3ZyhMjYwhUPcJiTSoqzTbwsRtdRrCXQufgz39bePW-c9EbAK8qwTv_4_nTeqOaFCyndid6p_cTy_PR_8mUaTr2Xlw5m4A8f0EaxoRQ89HsPFgYIYTmoO0axefOgoOiw6=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFswLqaqroGWpYArZhjYPTdYD-pO8cCQ1kkhhkSRVdgPddR0DTyuf4NsRN360Udb9WcIO5km6uEmxF58D0sjfD124DHAOxx5S1xsOCAd5K1jhmFI7bOLvwSHqt5pe30NAAezmEF=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAE232RLXKXjMNjqjWsrzITlVeJbJsWBOzEJ69ex2XNMxgWLe769o45amaV8ie1wAUifyhnCXj1V0JeHtJCUA_BcwS7k7ZidRLjH-AVmdPiijisI_3MnCvSLym5z_ekRxzJvOdqg=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3vpQNUJSjRQzYt1mDsVknQPEfQBm_jo4w1cA3qNqQAjPDDtio0IvdraE9jzLenK-vv-7hOKLk0bLj_XH0_KOJHzjPjB6fIfl7VN_6Qtj69dsrCNULpL5_kuOYfsleKkhv47Rn=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAF3T7yeCBIv2MMNJ0ZgtccUemncyNrJo03HwTypHDsCu8z8QLhoOueH9Zp61HQwByrlXj15v2ohDyIqgMEIjLpjwd8w-XFsahpEukFtoewvINYIgVwFL9aHNDEnJoT6mnW0myhB=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZcwzt34w5-iG7udWJywVnHRHlDgmuas3SieZMgKyTqbL9W030JCMEbi3r7eNCvZUN-_587f9gAQnjinbFIg_FuwbUxkamiAJhWkWtRiPD_EHth4AOfe8ll0hf5iaIZDv7vyc-=s2000-k-no"
Joy Memory Elderly Care,5.0,1,Assisted living facility,3235 Rock Creek Run,+1 (210) 426 4912,Open · Closes 5 PM,https://www.joymemoryelderlycare.info/,https://www.google.com/maps/place/Joy+Memory+Elderly+Care/data=!4m7!3m6!1s0x865c61e27fcd4b15:0xa4ddef5bd3d3d91!8m2!3d29.5183261!4d-98.5475095!16s%2Fg%2F11y2nkw17d!19sChIJFUvNf-JhXIYRkT09vfXeTQo?authuser=0&hl=en&rclk=1,"3235 Rock Creek Run, San Antonio, TX 78230"," GF92+8X San Antonio, Texas","[""Tuesday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Wednesday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Thursday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Friday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Saturday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Sunday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Monday: 9\u202fAM\u20135\u202fPM   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom, wheelchair accessible seating""]",29.5183261,-98.5475095,
Brookdale Hamilton Wolfe,4.3,22,Assisted living facility,5331 Hamilton Wolfe,+1 (210) 641 7200,Open 24 hours,https://www.brookdale.com/en/communities/brookdale-hamilton-wolfe.html?cid=yext,https://www.google.com/maps/place/Brookdale+Hamilton+Wolfe/data=!4m7!3m6!1s0x865c675dd1608373:0x5389ce3631378f8e!8m2!3d29.5174461!4d-98.5920657!16s%2Fg%2F1tl8l3t6!19sChIJc4Ng0V1nXIYRjo83MTbOiVM?authuser=0&hl=en&rclk=1,"5331 Hamilton Wolfe, San Antonio, TX 78229"," GC85+X5 San Antonio, Texas","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot"", ""Service options: Onsite services available""]",29.5174461,-98.5920657,
